"","name","id","name_type","class","mass","fall","year","lat","long","geolocation","housenumber","street","city","state","zip","country"
"837","Revelstoke",22592,"Valid","CI1",1,"Fell",1965,51.33333,-118.95,"(51.33333, -118.95)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"838","Rewari",22593,"Valid","L6",3332,"Fell",1929,28.2,76.66667,"(28.2, 76.66667)","House Number Not Found","Street Not Found","City Not Found","Haryana","123401","India"
"839","Rich Mountain",22597,"Valid","L6",668,"Fell",1903,35.03333,-83.03333,"(35.03333, -83.03333)","House Number Not Found","Street Not Found","City Not Found","North Carolina","Postcode Not Found","United States of America"
"840","Uzcudun",24140,"Valid","L",20000,"Fell",1948,-44.11667,-66.15,"(-44.11667, -66.15)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"841","Richardton",22599,"Valid","H5",90000,"Fell",1918,46.88333,-102.31667,"(46.88333, -102.31667)","House Number Not Found","Street Not Found","Richardton","North Dakota","Postcode Not Found","United States of America"
"842","Richland Springs",22602,"Valid","OC",1900,"Fell",1980,31.25,-99.03333,"(31.25, -99.03333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"843","Richmond",22603,"Valid","LL5",1800,"Fell",1828,37.46667,-77.5,"(37.46667, -77.5)","House Number Not Found","Street Not Found","Richmond City","Virginia","23224","United States of America"
"844","Rio Negro",22611,"Valid","L4",1310,"Fell",1934,-26.1,-49.8,"(-26.1, -49.8)","House Number Not Found","Rua Coronel Nicolau Bley Neto","Rio Negro","Paraná","89300-000","Brazil"
"845","Rivolta de Bassi",22614,"Valid","Stone-uncl",103.3,"Fell",1490,45.48333,9.51667,"(45.48333, 9.51667)","House Number Not Found","Street Not Found","Rivolta d'Adda","Lombardy","26027","Italy"
"846","Rochester",22637,"Valid","H6",340,"Fell",1876,41.08333,-86.28333,"(41.08333, -86.28333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"847","Rockhampton",22640,"Valid","Stone-uncl",1641,"Fell",1895,-23.38333,150.51667,"(-23.38333, 150.51667)","House Number Not Found","George Street","Rockhampton","Queensland","4700","Australia"
"848","Roda",22641,"Valid","Diogenite",400,"Fell",1871,42.3,0.55,"(42.3, 0.55)","House Number Not Found","Street Not Found","City Not Found","Aragon","22482","Spain"
"849","Rodach",22642,"Valid","Stone-uncl",2900,"Fell",1775,50.35,10.8,"(50.35, 10.8)","House Number Not Found","Street Not Found","Bad Rodach","Bavaria","96476","Germany"
"850","Rose City",22766,"Valid","H5",10600,"Fell",1921,44.51667,-83.95,"(44.51667, -83.95)","House Number Not Found","Street Not Found","City Not Found","Michigan","Postcode Not Found","United States of America"
"851","Rowton",22773,"Valid","Iron, IIIAB",3500,"Fell",1876,52.76667,-2.51667,"(52.76667, -2.51667)","House Number Not Found","Street Not Found","City Not Found","England","TF6 6JX","United Kingdom"
"852","Ruhobobo",22780,"Valid","L6",465.5,"Fell",1976,-1.45,29.83333,"(-1.45, 29.83333)","House Number Not Found","Street Not Found","Nemba","Northern Province","Postcode Not Found","Rwanda"
"853","Rumuruti",22782,"Valid","R3.8-6",67,"Fell",1934,0.26667,36.53333,"(0.26667, 36.53333)","House Number Not Found","Street Not Found","City Not Found","Laikipia","Postcode Not Found","Kenya"
